iter	Passed	Remaining
0	1	1704
1	3	1523
2	4	1572
3	6	1531
4	7	1509
5	8	1482
6	10	1457
7	11	1447
8	12	1424
9	14	1392
10	15	1370
11	16	1353
12	17	1364
13	19	1359
14	20	1359
15	21	1352
16	23	1348
17	24	1343
18	25	1335
19	27	1340
20	28	1344
21	30	1344
22	31	1334
23	33	1367
24	36	1425
25	38	1425
26	39	1434
27	41	1427
28	42	1417
29	43	1409
30	44	1405
31	46	1399
32	48	1425
33	49	1418
34	51	1412
35	52	1406
36	53	1402
37	55	1397
38	56	1390
39	57	1387
40	59	1385
41	60	1380
42	61	1372
43	62	1367
44	64	1369
45	65	1367
46	67	1365
47	68	1360
48	70	1358
49	71	1353
50	72	1354
51	74	1356
52	75	1352
53	77	1352
54	78	1347
55	79	1346
56	81	1340
57	82	1337
58	83	1338
59	85	1336
60	86	1334
61	88	1333
62	89	1330
63	90	1330
64	92	1327
65	93	1327
66	95	1333
67	97	1332
68	98	1329
69	99	1326
70	101	1325
71	102	1324
72	104	1321
73	105	1318
74	106	1314
75	108	1314
76	109	1310
77	110	1306
78	112	1307
79	113	1304
80	114	1300
81	115	1296
82	117	1294
83	118	1291
84	119	1290
85	121	1287
86	122	1285
87	123	1282
88	125	1282
89	126	1281
90	128	1280
91	129	1276
92	130	1273
93	131	1270
94	133	1267
95	134	1266
96	135	1265
97	137	1264
98	138	1263
99	140	1260
100	141	1256
101	142	1256
102	143	1253
103	145	1254
104	147	1253
105	148	1250
106	149	1247
107	150	1245
108	152	1242
109	153	1239
110	154	1236
111	155	1233
112	156	1231
113	158	1230
114	159	1228
115	161	1228
116	162	1229
117	164	1228
118	165	1227
119	166	1224
120	168	1224
121	170	1224
122	171	1221
123	172	1221
124	174	1220
125	175	1219
126	177	1216
127	178	1217
128	180	1217
129	181	1215
130	182	1213
131	184	1212
132	185	1211
133	187	1209
134	188	1206
135	189	1204
136	191	1208
137	193	1206
138	194	1207
139	196	1204
140	197	1201
141	198	1199
142	199	1197
143	201	1196
144	202	1193
145	204	1194
146	205	1192
147	206	1191
148	208	1188
149	209	1186
150	210	1183
151	211	1181
152	212	1177
153	214	1175
154	215	1174
155	217	1174
156	218	1172
157	219	1170
158	220	1167
159	222	1166
160	223	1163
161	224	1161
162	225	1159
163	226	1156
164	228	1154
165	229	1152
166	230	1150
167	232	1149
168	233	1147
169	234	1146
170	235	1144
171	237	1141
172	238	1139
173	239	1138
174	241	1136
175	242	1134
176	243	1132
177	245	1132
178	246	1131
179	248	1130
180	249	1128
181	250	1126
182	251	1124
183	252	1121
184	254	1119
185	255	1119
186	257	1118
187	258	1117
188	260	1115
189	261	1113
190	262	1112
191	263	1110
192	265	1109
193	266	1107
194	268	1107
195	270	1109
