,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.82770926 0.56882065 0.60590798 0.82857815],0.7077540115623756,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20')",0.19412432433365245,0.12110204956020967,0.06991830091300245
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.82824498 0.80959004 0.78496031 0.74640742],0.7923006879453474,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19')",0.04908753507608114,0.03062264930465276,0.017679994819340777
19,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19)",[0.83675752 0.80896049 0.79221179 0.74611285],0.7960106611887904,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '16', '17', '18', '19')",0.052753841343730165,0.03290982895023193,0.019000498603400945
18,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19)",[0.83844035 0.80940692 0.78883181 0.74704212],0.795930302227437,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '16', '17', '18', '19')",0.05334079276210934,0.03327599130521749,0.019211902537618963
17,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19)",[0.83715855 0.80516654 0.79255616 0.74274803],0.7944073225980482,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '16', '17', '19')",0.054451469759848325,0.03396887336050485,0.019611938178755783
16,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19)",[0.83985381 0.81000772 0.79121054 0.74241398],0.7958715131560501,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '12', '13', '14', '16', '17', '19')",0.05675157921148505,0.03540376808460578,0.020440375033974233
15,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 14, 16, 17, 19)",[0.83298627 0.80615475 0.79114986 0.74390051],0.7935478503034192,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '12', '14', '16', '17', '19')",0.05184927126043041,0.03234552413457077,0.01867469706617397
14,"(0, 2, 3, 4, 5, 7, 8, 9, 10, 12, 14, 16, 17, 19)",[0.83693306 0.80984125 0.78775016 0.73817608],0.7931751380495539,"('0', '2', '3', '4', '5', '7', '8', '9', '10', '12', '14', '16', '17', '19')",0.05805605084532073,0.03621754651754002,0.020910210231289524
13,"(0, 2, 3, 4, 5, 7, 8, 9, 10, 12, 14, 17, 19)",[0.8270449  0.80569016 0.79210408 0.73391539],0.7896886336837761,"('0', '2', '3', '4', '5', '7', '8', '9', '10', '12', '14', '17', '19')",0.055343659787332286,0.0345254550320515,0.01993328075664925
12,"(0, 2, 3, 4, 5, 7, 8, 9, 12, 14, 17, 19)",[0.827623   0.80042676 0.79047629 0.72685475],0.7863451995822996,"('0', '2', '3', '4', '5', '7', '8', '9', '12', '14', '17', '19')",0.059214522317515915,0.03694024456231848,0.021327460141985184
11,"(0, 2, 3, 4, 5, 8, 9, 12, 14, 17, 19)",[0.8219737  0.79586555 0.79092079 0.72340338],0.7830408555006261,"('0', '2', '3', '4', '5', '8', '9', '12', '14', '17', '19')",0.058343679168605694,0.03639697987593516,0.02101380612906056
10,"(0, 2, 4, 5, 8, 9, 12, 14, 17, 19)",[0.8140559  0.77898879 0.78916405 0.74378056],0.7814973235845707,"('0', '2', '4', '5', '8', '9', '12', '14', '17', '19')",0.04045493370529548,0.025237308118652872,0.014570766635925762
